"","DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","CAUSE_OF_DEATH","CAUSE_OF_DEATH_NAME","CAUSE_OF_DEATH_CODE","CAUSE_OF_DEATH_TYPE","CAUSE_OF_DEATH_TYPECODE","CAUSE_OF_DEATH_SORTORDER","GENDER","GENDER_NAME","GENDER_CODE","GENDER_TYPE","GENDER_TYPECODE","GENDER_SORTORDER","AGE","AGE_NAME","AGE_CODE","AGE_TYPE","AGE_TYPECODE","AGE_SORTORDER","MEASURE","MEASURE_NAME","MEASURE_CODE","MEASURE_TYPE","MEASURE_TYPECODE","MEASURE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"32",2013,2013,2013,"date",0,0,2092957715,"Total mortality","2092957715","countries",499,0,12439,"X39 Exposure to other and unspecified forces of nature","X39","ICD-10 three digit",1005,10,1,"Male",1,"Sex",1000,1,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",5,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957715d12439d1d0d1d20100",31,1485
"33",2013,2013,2013,"date",0,0,2092957715,"Total mortality","2092957715","countries",499,0,12439,"X39 Exposure to other and unspecified forces of nature","X39","ICD-10 three digit",1005,10,2,"Female",2,"Sex",1000,2,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",0,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957715d12439d2d0d1d20100",32,1485
"34",2013,2013,2013,"date",0,0,2092957699,"England","E92000001","countries",499,1,0,"A00-R99,U00-Y89 All causes, all ages","Total","cause of death",1001,0,0,"Total",0,"Sex",1000,0,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",473550,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957699d98a99d0d0d1d20100",33,1485
"35",2013,2013,2013,"date",0,0,2092957699,"England","E92000001","countries",499,1,0,"A00-R99,U00-Y89 All causes, all ages","Total","cause of death",1001,0,1,"Male",1,"Sex",1000,1,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",229289,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957699d98a99d1d0d1d20100",34,1485
"36",2013,2013,2013,"date",0,0,2092957699,"England","E92000001","countries",499,1,0,"A00-R99,U00-Y89 All causes, all ages","Total","cause of death",1001,0,2,"Female",2,"Sex",1000,2,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",244261,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957699d98a99d2d0d1d20100",35,1485
"37",2013,2013,2013,"date",0,0,2092957699,"England","E92000001","countries",499,1,12430,"X30 Exposure to excessive natural heat","X30","ICD-10 three digit",1005,1,0,"Total",0,"Sex",1000,0,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",1,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957699d12430d0d0d1d20100",36,1485
"38",2013,2013,2013,"date",0,0,2092957699,"England","E92000001","countries",499,1,12430,"X30 Exposure to excessive natural heat","X30","ICD-10 three digit",1005,1,1,"Male",1,"Sex",1000,1,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",1,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957699d12430d1d0d1d20100",37,1485
"39",2013,2013,2013,"date",0,0,2092957699,"England","E92000001","countries",499,1,12430,"X30 Exposure to excessive natural heat","X30","ICD-10 three digit",1005,1,2,"Female",2,"Sex",1000,2,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",0,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957699d12430d2d0d1d20100",38,1485
"40",2013,2013,2013,"date",0,0,2092957699,"England","E92000001","countries",499,1,12431,"X31 Exposure to excessive natural cold","X31","ICD-10 three digit",1005,2,0,"Total",0,"Sex",1000,0,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",84,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957699d12431d0d0d1d20100",39,1485
"41",2013,2013,2013,"date",0,0,2092957699,"England","E92000001","countries",499,1,12431,"X31 Exposure to excessive natural cold","X31","ICD-10 three digit",1005,2,1,"Male",1,"Sex",1000,1,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",47,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957699d12431d1d0d1d20100",40,1485
