ReportingPeriod_Data,Area_Data,DrugGroup_Data,Gender_Data,AgeGroup_Data,Num_InTreatment_AllInTx,Eth_White_AllInTx,Eth_Mixed_AllInTx,Eth_Asian_AllInTx,Eth_Black_AllInTx,Eth_Other_AllInTx
2015/16,England,alcohol & non-opiates,Total,Total,28187,24284,831,616,1178,182
2015/16,England,alcohol & non-opiates,Total,18-29,9865,8558,367,238,358,49
2015/16,England,alcohol & non-opiates,Total,30-49,15494,13289,411,350,663,115
2015/16,England,alcohol & non-opiates,Total,50+,2828,2437,53,28,157,18
2015/16,England,alcohol & non-opiates,M,Total,20867,17946,554,549,886,160
2015/16,England,alcohol & non-opiates,M,18-29,7103,6155,246,206,250,44
2015/16,England,alcohol & non-opiates,M,30-49,11618,9957,265,316,507,102
2015/16,England,alcohol & non-opiates,M,50+,2146,1834,43,27,129,14
2015/16,England,alcohol & non-opiates,F,Total,7320,6338,277,67,292,22
2015/16,England,alcohol & non-opiates,F,18-29,2762,2403,121,32,108,5
2015/16,England,alcohol & non-opiates,F,30-49,3876,3332,146,34,156,13
2015/16,England,alcohol & non-opiates,F,50+,682,603,10,1,28,4
2016/17,England,Total,Total,Total,279793,245684,5334,9583,6546,2097
2016/17,England,Total,Total,18-29,44448,38454,1357,1466,1346,376
2016/17,England,Total,Total,30-49,179397,157437,3286,6944,3636,1379
2016/17,England,Total,Total,50+,55948,49793,691,1173,1564,342
2016/17,England,Total,M,Total,194304,167684,3603,8704,5022,1752
2016/17,England,Total,M,18-29,29690,25270,857,1290,981,294
2016/17,England,Total,M,30-49,126761,109379,2259,6344,2771,1168
2016/17,England,Total,M,50+,37853,33035,487,1070,1270,290
2016/17,England,Total,F,Total,85489,78000,1731,879,1524,345
2016/17,England,Total,F,18-29,14758,13184,500,176,365,82
2016/17,England,Total,F,30-49,52636,48058,1027,600,865,211
2016/17,England,Total,F,50+,18095,16758,204,103,294,52
2016/17,England,opiates,Total,Total,146536,128582,2668,5732,2442,1243
2016/17,England,opiates,Total,18-29,15560,13761,318,624,155,180
2016/17,England,opiates,Total,30-49,109909,96739,1998,4622,1522,846
2016/17,England,opiates,Total,50+,21067,18082,352,486,765,217
2016/17,England,opiates,M,Total,106766,91828,1944,5408,2041,1098
2016/17,England,opiates,M,18-29,9566,8215,196,562,111,141
2016/17,England,opiates,M,30-49,81012,69995,1466,4377,1239,762
2016/17,England,opiates,M,50+,16188,13618,282,469,691,195
2016/17,England,opiates,F,Total,39770,36754,724,324,401,145
2016/17,England,opiates,F,18-29,5994,5546,122,62,44,39
2016/17,England,opiates,F,30-49,28897,26744,532,245,283,84
2016/17,England,opiates,F,50+,4879,4464,70,17,74,22
2016/17,England,non-opiates only,Total,Total,24561,20401,860,942,1354,223
2016/17,England,non-opiates only,Total,18-29,11943,9975,499,436,583,96
2016/17,England,non-opiates only,Total,30-49,10906,9010,324,470,612,116
2016/17,England,non-opiates only,Total,50+,1712,1416,37,36,159,11
2016/17,England,non-opiates only,M,Total,17983,14685,603,818,1117,182
2016/17,England,non-opiates only,M,18-29,8959,7410,339,384,478,80
2016/17,England,non-opiates only,M,30-49,7974,6454,238,408,503,94
2016/17,England,non-opiates only,M,50+,1050,821,26,26,136,8
2016/17,England,non-opiates only,F,Total,6578,5716,257,124,237,41
2016/17,England,non-opiates only,F,18-29,2984,2565,160,52,105,16
2016/17,England,non-opiates only,F,30-49,2932,2556,86,62,109,22
2016/17,England,non-opiates only,F,50+,662,595,11,10,23,3
2016/17,England,alcohol only,Total,Total,80454,72394,971,2245,1541,457
2016/17,England,alcohol only,Total,18-29,7470,6564,175,185,221,48
2016/17,England,alcohol only,Total,30-49,42842,38115,568,1447,864,307
2016/17,England,alcohol only,Total,50+,30142,27715,228,613,456,102
2016/17,England,alcohol only,M,Total,48754,43364,491,1901,945,328
2016/17,England,alcohol only,M,18-29,4411,3860,82,157,114,34
2016/17,England,alcohol only,M,30-49,26041,22865,287,1204,533,217
2016/17,England,alcohol only,M,50+,18302,16639,122,540,298,77
2016/17,England,alcohol only,F,Total,31700,29030,480,344,596,129
2016/17,England,alcohol only,F,18-29,3059,2704,93,28,107,14
2016/17,England,alcohol only,F,30-49,16801,15250,281,243,331,90
2016/17,England,alcohol only,F,50+,11840,11076,106,73,158,25
2016/17,England,alcohol & non-opiates,Total,Total,28242,24307,835,664,1209,174
2016/17,England,alcohol & non-opiates,Total,18-29,9475,8154,365,221,387,52
2016/17,England,alcohol & non-opiates,Total,30-49,15740,13573,396,405,638,110
2016/17,England,alcohol & non-opiates,Total,50+,3027,2580,74,38,184,12
2016/17,England,alcohol & non-opiates,M,Total,20801,17807,565,577,919,144
2016/17,England,alcohol & non-opiates,M,18-29,6754,5785,240,187,278,39
2016/17,England,alcohol & non-opiates,M,30-49,11734,10065,268,355,496,95
2016/17,England,alcohol & non-opiates,M,50+,2313,1957,57,35,145,10
2016/17,England,alcohol & non-opiates,F,Total,7441,6500,270,87,290,30
2016/17,England,alcohol & non-opiates,F,18-29,2721,2369,125,34,109,13
2016/17,England,alcohol & non-opiates,F,30-49,4006,3508,128,50,142,15
2016/17,England,alcohol & non-opiates,F,50+,714,623,17,3,39,2
2017/18,England,Total,Total,Total,268390,236250,5360,9239,6210,2028
2017/18,England,Total,Total,18-29,40069,34794,1271,1291,1115,334
2017/18,England,Total,Total,30-49,171815,151220,3347,6704,3462,1326
2017/18,England,Total,Total,50+,56506,50236,742,1244,1633,368
2017/18,England,Total,M,Total,185870,161025,3562,8353,4680,1675
2017/18,England,Total,M,18-29,26436,22654,762,1130,788,255
2017/18,England,Total,M,30-49,120725,104573,2278,6090,2577,1119
2017/18,England,Total,M,50+,38709,33798,522,1133,1315,301
2017/18,England,Total,F,Total,82520,75225,1798,886,1530,353
2017/18,England,Total,F,18-29,13633,12140,509,161,327,79
2017/18,England,Total,F,30-49,51090,46647,1069,614,885,207
2017/18,England,Total,F,50+,17797,16438,220,111,318,67
2017/18,England,opiates,Total,Total,141189,124279,2666,5422,2365,1208
2017/18,England,opiates,Total,18-29,13186,11735,283,500,123,139
2017/18,England,opiates,Total,30-49,105174,92881,2016,4375,1424,851
2017/18,England,opiates,Total,50+,22829,19663,367,547,818,218
2017/18,England,opiates,M,Total,102803,88813,1919,5124,1956,1070
2017/18,England,opiates,M,18-29,8099,7034,169,453,87,105
2017/18,England,opiates,M,30-49,77052,66858,1452,4142,1132,771
2017/18,England,opiates,M,50+,17652,14921,298,529,737,194
2017/18,England,opiates,F,Total,38386,35466,747,298,409,138
2017/18,England,opiates,F,18-29,5087,4701,114,47,36,34
2017/18,England,opiates,F,30-49,28122,26023,564,233,292,80
2017/18,England,opiates,F,50+,5177,4742,69,18,81,24
2017/18,England,non-opiates only,Total,Total,23730,19792,846,908,1198,215
2017/18,England,non-opiates only,Total,18-29,11139,9352,453,385,471,100
2017/18,England,non-opiates only,Total,30-49,10946,9089,347,485,572,102
2017/18,England,non-opiates only,Total,50+,1645,1351,46,38,155,13
2017/18,England,non-opiates only,M,Total,17120,14079,557,793,946,176
2017/18,England,non-opiates only,M,18-29,8142,6761,288,345,375,87
2017/18,England,non-opiates only,M,30-49,7940,6495,238,420,444,81
2017/18,England,non-opiates only,M,50+,1038,823,31,28,127,8
2017/18,England,non-opiates only,F,Total,6610,5713,289,115,252,39
2017/18,England,non-opiates only,F,18-29,2997,2591,165,40,96,13
2017/18,England,non-opiates only,F,30-49,3006,2594,109,65,128,21
2017/18,England,non-opiates only,F,50+,607,528,15,10,28,5
2017/18,England,alcohol only,Total,Total,75787,68182,1015,2217,1521,442
2017/18,England,alcohol only,Total,18-29,6720,5923,172,191,186,40
2017/18,England,alcohol only,Total,30-49,40057,35595,580,1423,870,279
2017/18,England,alcohol only,Total,50+,29010,26664,263,603,465,123
2017/18,England,alcohol only,M,Total,45668,40633,537,1835,917,303
2017/18,England,alcohol only,M,18-29,3814,3353,79,151,93,26
2017/18,England,alcohol only,M,30-49,24129,21156,314,1158,528,190
2017/18,England,alcohol only,M,50+,17725,16124,144,526,296,87
2017/18,England,alcohol only,F,Total,30119,27549,478,382,604,139
2017/18,England,alcohol only,F,18-29,2906,2570,93,40,93,14
2017/18,England,alcohol only,F,30-49,15928,14439,266,265,342,89
2017/18,England,alcohol only,F,50+,11285,10540,119,77,169,36
2017/18,England,alcohol & non-opiates,Total,Total,27684,23997,833,692,1126,163
2017/18,England,alcohol & non-opiates,Total,18-29,9024,7784,363,215,335,55
2017/18,England,alcohol & non-opiates,Total,30-49,15638,13655,404,421,596,94
2017/18,England,alcohol & non-opiates,Total,50+,3022,2558,66,56,195,14
2017/18,England,alcohol & non-opiates,M,Total,20279,17500,549,601,861,126
2017/18,England,alcohol & non-opiates,M,18-29,6381,5506,226,181,233,37
2017/18,England,alcohol & non-opiates,M,30-49,11604,10064,274,370,473,77
2017/18,England,alcohol & non-opiates,M,50+,2294,1930,49,50,155,12
2017/18,England,alcohol & non-opiates,F,Total,7405,6497,284,91,265,37
2017/18,England,alcohol & non-opiates,F,18-29,2643,2278,137,34,102,18
2017/18,England,alcohol & non-opiates,F,30-49,4034,3591,130,51,123,17
2017/18,England,alcohol & non-opiates,F,50+,728,628,17,6,40,2
2018/19,England,Total,Total,Total,268251,237817,5589,9423,6249,1955
2018/19,England,Total,Total,18-29,38643,33656,1233,1170,1085,340
2018/19,England,Total,Total,30-49,170100,150795,3521,6845,3350,1233
2018/19,England,Total,Total,50+,59508,53366,835,1408,1814,382
2018/19,England,Total,M,Total,185236,161806,3672,8479,4598,1603
2018/19,England,Total,M,18-29,25387,21918,734,982,724,249
2018/19,England,Total,M,30-49,118900,103790,2357,6208,2409,1036
2018/19,England,Total,M,50+,40949,36098,581,1289,1465,318
2018/19,England,Total,F,Total,83015,76011,1917,944,1651,352
2018/19,England,Total,F,18-29,13256,11738,499,188,361,91
2018/19,England,Total,F,30-49,51200,47005,1164,637,941,197
2018/19,England,Total,F,50+,18559,17268,254,119,349,64
2018/19,England,opiates,Total,Total,139845,124168,2834,5649,2509,1191
2018/19,England,opiates,Total,18-29,11736,10475,283,417,117,139
2018/19,England,opiates,Total,30-49,102790,91479,2090,4552,1430,805
2018/19,England,opiates,Total,50+,25319,22214,461,680,962,247
2018/19,England,opiates,M,Total,101810,88741,2001,5317,2062,1058
2018/19,England,opiates,M,18-29,7360,6422,164,375,82,115
2018/19,England,opiates,M,30-49,74876,65442,1467,4295,1117,719
2018/19,England,opiates,M,50+,19574,16877,370,647,863,224
2018/19,England,opiates,F,Total,38035,35427,833,332,447,133
2018/19,England,opiates,F,18-29,4376,4053,119,42,35,24
2018/19,England,opiates,F,30-49,27914,26037,623,257,313,86
2018/19,England,opiates,F,50+,5745,5337,91,33,99,23
2018/19,England,non-opiates only,Total,Total,24253,20454,878,819,1118,201
2018/19,England,non-opiates only,Total,18-29,11154,9433,453,350,455,83
2018/19,England,non-opiates only,Total,30-49,11529,9734,385,441,506,106
2018/19,England,non-opiates only,Total,50+,1570,1287,40,28,157,12
2018/19,England,non-opiates only,M,Total,17388,14495,587,709,864,151
2018/19,England,non-opiates only,M,18-29,7992,6712,288,302,342,62
2018/19,England,non-opiates only,M,30-49,8330,6939,271,385,390,82
2018/19,England,non-opiates only,M,50+,1066,844,28,22,132,7
2018/19,England,non-opiates only,F,Total,6865,5959,291,110,254,50
2018/19,England,non-opiates only,F,18-29,3162,2721,165,48,113,21
2018/19,England,non-opiates only,F,30-49,3199,2795,114,56,116,24
2018/19,England,non-opiates only,F,50+,504,443,12,6,25,5
2018/19,England,alcohol only,Total,Total,75555,68204,1051,2250,1517,398
2018/19,England,alcohol only,Total,18-29,6538,5735,159,186,192,51
2018/19,England,alcohol only,Total,30-49,39595,35355,624,1421,834,240
2018/19,England,alcohol only,Total,50+,29422,27114,268,643,491,107
2018/19,England,alcohol only,M,Total,45210,40375,556,1847,872,280
2018/19,England,alcohol only,M,18-29,3654,3238,69,129,84,31
2018/19,England,alcohol only,M,30-49,23680,20850,343,1150,477,177
2018/19,England,alcohol only,M,50+,17876,16287,144,568,311,72
2018/19,England,alcohol only,F,Total,30345,27829,495,403,645,118
2018/19,England,alcohol only,F,18-29,2884,2497,90,57,108,20
2018/19,England,alcohol only,F,30-49,15915,14505,281,271,357,63
2018/19,England,alcohol only,F,50+,11546,10827,124,75,180,35
2018/19,England,alcohol & non-opiates,Total,Total,28598,24991,826,705,1105,165
2018/19,England,alcohol & non-opiates,Total,18-29,9215,8013,338,217,321,67
2018/19,England,alcohol & non-opiates,Total,30-49,16186,14227,422,431,580,82
2018/19,England,alcohol & non-opiates,Total,50+,3197,2751,66,57,204,16
2018/19,England,alcohol & non-opiates,M,Total,20828,18195,528,606,800,114
2018/19,England,alcohol & non-opiates,M,18-29,6381,5546,213,176,216,41
2018/19,England,alcohol & non-opiates,M,30-49,12014,10559,276,378,425,58
2018/19,England,alcohol & non-opiates,M,50+,2433,2090,39,52,159,15
2018/19,England,alcohol & non-opiates,F,Total,7770,6796,298,99,305,51
2018/19,England,alcohol & non-opiates,F,18-29,2834,2467,125,41,105,26
2018/19,England,alcohol & non-opiates,F,30-49,4172,3668,146,53,155,24
2018/19,England,alcohol & non-opiates,F,50+,764,661,27,5,45,1
2019/20,England,Total,Total,Total,270705,239393,5796,9865,6565,2063
2019/20,England,Total,Total,18-29,38009,32892,1285,1191,1145,304
2019/20,England,Total,Total,30-49,169966,150315,3632,7101,3453,1342
2019/20,England,Total,Total,50+,62730,56186,879,1573,1967,417
2019/20,England,Total,M,Total,186811,162770,3775,8824,4801,1712
2019/20,England,Total,M,18-29,24876,21375,771,969,752,231
2019/20,England,Total,M,30-49,118392,103055,2375,6432,2475,1126
2019/20,England,Total,M,50+,43543,38340,629,1423,1574,355
2019/20,England,Total,F,Total,83894,76623,2021,1041,1764,351
2019/20,England,Total,F,18-29,13133,11517,514,222,393,73
2019/20,England,Total,F,30-49,51574,47260,1257,669,978,216
2019/20,England,Total,F,50+,19187,17846,250,150,393,62
2019/20,England,opiates,Total,Total,140599,124822,2925,5654,2595,1219
2019/20,England,opiates,Total,18-29,10571,9408,280,349,128,108
2019/20,England,opiates,Total,30-49,101717,90522,2110,4515,1424,836
2019/20,England,opiates,Total,50+,28311,24892,535,790,1043,275
2019/20,England,opiates,M,Total,102183,89077,2056,5297,2130,1087
2019/20,England,opiates,M,18-29,6555,5719,161,306,96,84
2019/20,England,opiates,M,30-49,73664,64377,1463,4236,1104,751
2019/20,England,opiates,M,50+,21964,18981,432,755,930,252
2019/20,England,opiates,F,Total,38416,35745,869,357,465,132
2019/20,England,opiates,F,18-29,4016,3689,119,43,32,24
2019/20,England,opiates,F,30-49,28053,26145,647,279,320,85
2019/20,England,opiates,F,50+,6347,5911,103,35,113,23
2019/20,England,non-opiates only,Total,Total,25226,21115,903,937,1207,239
2019/20,England,non-opiates only,Total,18-29,11296,9479,450,392,475,91
2019/20,England,non-opiates only,Total,30-49,12224,10250,419,501,563,129
2019/20,England,non-opiates only,Total,50+,1706,1386,34,44,169,19
2019/20,England,non-opiates only,M,Total,17967,14841,620,797,921,187
2019/20,England,non-opiates only,M,18-29,8017,6666,306,324,343,74
2019/20,England,non-opiates only,M,30-49,8773,7248,294,441,432,99
2019/20,England,non-opiates only,M,50+,1177,927,20,32,146,14
2019/20,England,non-opiates only,F,Total,7259,6274,283,140,286,52
2019/20,England,non-opiates only,F,18-29,3279,2813,144,68,132,17
2019/20,England,non-opiates only,F,30-49,3451,3002,125,60,131,30
2019/20,England,non-opiates only,F,50+,529,459,14,12,23,5
2019/20,England,alcohol only,Total,Total,74618,67115,1050,2424,1603,434
2019/20,England,alcohol only,Total,18-29,6555,5679,187,207,227,50
2019/20,England,alcohol only,Total,30-49,38717,34416,626,1534,855,281
2019/20,England,alcohol only,Total,50+,29346,27020,237,683,521,103
2019/20,England,alcohol only,M,Total,44664,39733,525,1995,912,305
2019/20,England,alcohol only,M,18-29,3715,3253,78,141,105,34
2019/20,England,alcohol only,M,30-49,23103,20225,320,1269,493,200
2019/20,England,alcohol only,M,50+,17846,16255,127,585,314,71
2019/20,England,alcohol only,F,Total,29954,27382,525,429,691,129
2019/20,England,alcohol only,F,18-29,2840,2426,109,66,122,16
2019/20,England,alcohol only,F,30-49,15614,14191,306,265,362,81
2019/20,England,alcohol only,F,50+,11500,10765,110,98,207,32
2019/20,England,alcohol & non-opiates,Total,Total,30262,26341,918,850,1160,171
2019/20,England,alcohol & non-opiates,Total,18-29,9587,8326,368,243,315,55
2019/20,England,alcohol & non-opiates,Total,30-49,17308,15127,477,551,611,96
2019/20,England,alcohol & non-opiates,Total,50+,3367,2888,73,56,234,20
2019/20,England,alcohol & non-opiates,M,Total,21997,19119,574,735,838,133
2019/20,England,alcohol & non-opiates,M,18-29,6589,5737,226,198,208,39
2019/20,England,alcohol & non-opiates,M,30-49,12852,11205,298,486,446,76
2019/20,England,alcohol & non-opiates,M,50+,2556,2177,50,51,184,18
2019/20,England,alcohol & non-opiates,F,Total,8265,7222,344,115,322,38
2019/20,England,alcohol & non-opiates,F,18-29,2998,2589,142,45,107,16
2019/20,England,alcohol & non-opiates,F,30-49,4456,3922,179,65,165,20
2019/20,England,alcohol & non-opiates,F,50+,811,711,23,5,50,2
2020/21,England,Total,Total,Total,275896,243220,6460,10190,6905,2103
2020/21,England,Total,Total,18-29,38848,33179,1451,1261,1301,323
2020/21,England,Total,Total,30-49,171144,151095,3932,7184,3522,1346
2020/21,England,Total,Total,50+,65904,58946,1077,1745,2082,434
2020/21,England,Total,M,Total,186371,161907,4086,9022,4876,1696
2020/21,England,Total,M,18-29,24450,20807,818,991,793,233
2020/21,England,Total,M,30-49,116617,101306,2515,6449,2413,1096
2020/21,England,Total,M,50+,45304,39794,753,1582,1670,367
2020/21,England,Total,F,Total,89525,81313,2374,1168,2029,407
2020/21,England,Total,F,18-29,14398,12372,633,270,508,90
2020/21,England,Total,F,30-49,54527,49789,1417,735,1109,250
2020/21,England,Total,F,50+,20600,19152,324,163,412,67
2020/21,England,opiates,Total,Total,140863,124795,3113,5660,2763,1221
2020/21,England,opiates,Total,18-29,9655,8536,268,326,130,112
2020/21,England,opiates,Total,30-49,100076,88958,2193,4426,1464,823
2020/21,England,opiates,Total,50+,31132,27301,652,908,1169,286
2020/21,England,opiates,M,Total,101959,88707,2193,5293,2242,1062
2020/21,England,opiates,M,18-29,5994,5207,163,280,93,85
2020/21,England,opiates,M,30-49,71757,62610,1514,4143,1114,715
2020/21,England,opiates,M,50+,24208,20890,516,870,1035,262
2020/21,England,opiates,F,Total,38904,36088,920,367,521,159
2020/21,England,opiates,F,18-29,3661,3329,105,46,37,27
2020/21,England,opiates,F,30-49,28319,26348,679,283,350,108
2020/21,England,opiates,F,50+,6924,6411,136,38,134,24
2020/21,England,non-opiates only,Total,Total,27605,22945,1127,1039,1295,244
2020/21,England,non-opiates only,Total,18-29,12685,10470,578,442,569,103
2020/21,England,non-opiates only,Total,30-49,13179,11071,493,542,559,120
2020/21,England,non-opiates only,Total,50+,1741,1404,56,55,167,21
2020/21,England,non-opiates only,M,Total,18690,15393,700,855,928,179
2020/21,England,non-opiates only,M,18-29,8435,6935,349,350,385,75
2020/21,England,non-opiates only,M,30-49,9060,7533,314,461,397,88
2020/21,England,non-opiates only,M,50+,1195,925,37,44,146,16
2020/21,England,non-opiates only,F,Total,8915,7552,427,184,367,65
2020/21,England,non-opiates only,F,18-29,4250,3535,229,92,184,28
2020/21,England,non-opiates only,F,30-49,4119,3538,179,81,162,32
2020/21,England,non-opiates only,F,50+,546,479,19,11,21,5
2020/21,England,alcohol only,Total,Total,76740,68826,1227,2620,1701,451
2020/21,England,alcohol only,Total,18-29,6928,5953,209,228,261,48
2020/21,England,alcohol only,Total,30-49,40145,35551,729,1665,909,290
2020/21,England,alcohol only,Total,50+,29667,27322,289,727,531,113
2020/21,England,alcohol only,M,Total,44254,39156,601,2137,932,319
2020/21,England,alcohol only,M,18-29,3791,3288,80,155,109,35
2020/21,England,alcohol only,M,30-49,23042,20027,372,1364,497,207
2020/21,England,alcohol only,M,50+,17421,15841,149,618,326,77
2020/21,England,alcohol only,F,Total,32486,29670,626,483,769,132
2020/21,England,alcohol only,F,18-29,3137,2665,129,73,152,13
2020/21,England,alcohol only,F,30-49,17103,15524,357,301,412,83
2020/21,England,alcohol only,F,50+,12246,11481,140,109,205,36
2020/21,England,alcohol & non-opiates,Total,Total,30688,26654,993,871,1146,187
2020/21,England,alcohol & non-opiates,Total,18-29,9580,8220,396,265,341,60
2020/21,England,alcohol & non-opiates,Total,30-49,17744,15515,517,551,590,113
2020/21,England,alcohol & non-opiates,Total,50+,3364,2919,80,55,215,14
2020/21,England,alcohol & non-opiates,M,Total,21468,18651,592,737,774,136
2020/21,England,alcohol & non-opiates,M,18-29,6230,5377,226,206,206,38
2020/21,England,alcohol & non-opiates,M,30-49,12758,11136,315,481,405,86
2020/21,England,alcohol & non-opiates,M,50+,2480,2138,51,50,163,12
2020/21,England,alcohol & non-opiates,F,Total,9220,8003,401,134,372,51
2020/21,England,alcohol & non-opiates,F,18-29,3350,2843,170,59,135,22
2020/21,England,alcohol & non-opiates,F,30-49,4986,4379,202,70,185,27
2020/21,England,alcohol & non-opiates,F,50+,884,781,29,5,52,2
2021/22,England,TOTAL,TOTAL,TOTAL,289215,254119,7238,10770,7667,2310
2021/22,England,TOTAL,TOTAL,18-29,38954,33003,1625,1263,1362,371
2021/22,England,TOTAL,TOTAL,30-49,175817,154639,4316,7494,3897,1424
2021/22,England,TOTAL,TOTAL,50+,74444,66477,1297,2013,2408,515
2021/22,England,TOTAL,M,TOTAL,195080,168911,4610,9527,5405,1834
2021/22,England,TOTAL,M,18-29,24362,20646,900,968,814,254
2021/22,England,TOTAL,M,30-49,119747,103547,2802,6738,2681,1153
2021/22,England,TOTAL,M,50+,50971,44718,908,1821,1910,427
2021/22,England,TOTAL,F,TOTAL,94135,85208,2628,1243,2262,476
2021/22,England,TOTAL,F,18-29,14592,12357,725,295,548,117
2021/22,England,TOTAL,F,30-49,56070,51092,1514,756,1216,271
2021/22,England,TOTAL,F,50+,23473,21759,389,192,498,88
2021/22,England,OPIATES,TOTAL,TOTAL,140558,124156,3251,5755,2862,1257
2021/22,England,OPIATES,TOTAL,18-29,8313,7263,276,304,120,102
2021/22,England,OPIATES,TOTAL,30-49,97694,86632,2247,4396,1444,832
2021/22,England,OPIATES,TOTAL,50+,34551,30261,728,1055,1298,323
2021/22,England,OPIATES,M,TOTAL,101822,88239,2323,5390,2331,1093
2021/22,England,OPIATES,M,18-29,5246,4502,169,262,87,81
2021/22,England,OPIATES,M,30-49,69721,60594,1583,4123,1096,719
2021/22,England,OPIATES,M,50+,26855,23143,571,1005,1148,293
2021/22,England,OPIATES,F,TOTAL,38736,35917,928,365,531,164
2021/22,England,OPIATES,F,18-29,3067,2761,107,42,33,21
2021/22,England,OPIATES,F,30-49,27973,26038,664,273,348,113
2021/22,England,OPIATES,F,50+,7696,7118,157,50,150,30
2021/22,England,NON-OPIATES ONLY,TOTAL,TOTAL,29582,24453,1305,1146,1441,288
2021/22,England,NON-OPIATES ONLY,TOTAL,18-29,12867,10550,653,449,586,128
2021/22,England,NON-OPIATES ONLY,TOTAL,30-49,14618,12227,575,631,653,133
2021/22,England,NON-OPIATES ONLY,TOTAL,50+,2097,1676,77,66,202,27
2021/22,England,NON-OPIATES ONLY,M,TOTAL,19821,16190,819,929,1032,220
2021/22,England,NON-OPIATES ONLY,M,18-29,8295,6781,386,340,383,93
2021/22,England,NON-OPIATES ONLY,M,30-49,10092,8291,377,544,488,104
2021/22,England,NON-OPIATES ONLY,M,50+,1434,1118,56,45,161,23
2021/22,England,NON-OPIATES ONLY,F,TOTAL,9761,8263,486,217,409,68
2021/22,England,NON-OPIATES ONLY,F,18-29,4572,3769,267,109,203,35
2021/22,England,NON-OPIATES ONLY,F,30-49,4526,3936,198,87,165,29
2021/22,England,NON-OPIATES ONLY,F,50+,663,558,21,21,41,4
2021/22,England,ALCOHOL ONLY,TOTAL,TOTAL,84697,75797,1475,2882,2013,543
2021/22,England,ALCOHOL ONLY,TOTAL,18-29,7539,6450,254,240,283,58
2021/22,England,ALCOHOL ONLY,TOTAL,30-49,43411,38323,832,1815,1078,335
2021/22,England,ALCOHOL ONLY,TOTAL,50+,33747,31024,389,827,652,150
2021/22,England,ALCOHOL ONLY,M,TOTAL,49358,43642,745,2382,1120,358
2021/22,England,ALCOHOL ONLY,M,18-29,4206,3630,117,167,132,25
2021/22,England,ALCOHOL ONLY,M,30-49,25439,22127,415,1500,583,235
2021/22,England,ALCOHOL ONLY,M,50+,19713,17885,213,715,405,98
2021/22,England,ALCOHOL ONLY,F,TOTAL,35339,32155,730,500,893,185
2021/22,England,ALCOHOL ONLY,F,18-29,3333,2820,137,73,151,33
2021/22,England,ALCOHOL ONLY,F,30-49,17972,16196,417,315,495,100
2021/22,England,ALCOHOL ONLY,F,50+,14034,13139,176,112,247,52
2021/22,England,ALCOHOL & NON-OPIATES,TOTAL,TOTAL,34378,29713,1207,987,1351,222
2021/22,England,ALCOHOL & NON-OPIATES,TOTAL,18-29,10235,8740,442,270,373,83
2021/22,England,ALCOHOL & NON-OPIATES,TOTAL,30-49,20094,17457,662,652,722,124
2021/22,England,ALCOHOL & NON-OPIATES,TOTAL,50+,4049,3516,103,65,256,15
2021/22,England,ALCOHOL & NON-OPIATES,M,TOTAL,24079,20840,723,826,922,163
2021/22,England,ALCOHOL & NON-OPIATES,M,18-29,6615,5733,228,199,212,55
2021/22,England,ALCOHOL & NON-OPIATES,M,30-49,14495,12535,427,571,514,95
2021/22,England,ALCOHOL & NON-OPIATES,M,50+,2969,2572,68,56,196,13
2021/22,England,ALCOHOL & NON-OPIATES,F,TOTAL,10299,8873,484,161,429,59
2021/22,England,ALCOHOL & NON-OPIATES,F,18-29,3620,3007,214,71,161,28
2021/22,England,ALCOHOL & NON-OPIATES,F,30-49,5599,4922,235,81,208,29
2021/22,England,ALCOHOL & NON-OPIATES,F,50+,1080,944,35,9,60,2
