"Year","Country","Suspected source","Observation status","Value"
2013,"Wales","shipping","Low reliability",14.5
2014,"Wales","fishing","Low reliability",72
2014,"Wales","fly-tipped","Low reliability",0
2014,"Wales","medical","Low reliability",0
2014,"Wales","public","Low reliability",118
2014,"Wales","sewage related debris","Low reliability",26
2014,"Wales","shipping","Low reliability",16
2015,"Wales","fishing","Normal value",43.5
2015,"Wales","fly-tipped","Normal value",0
2015,"Wales","medical","Normal value",0
2015,"Wales","public","Normal value",105
2015,"Wales","sewage related debris","Normal value",8.5
2015,"Wales","shipping","Normal value",10.5
2016,"Wales","fishing","Low reliability",60.5
2016,"Wales","fly-tipped","Low reliability",0
2016,"Wales","medical","Low reliability",0.5
2016,"Wales","public","Low reliability",106
2016,"Wales","sewage related debris","Low reliability",15
2016,"Wales","shipping","Low reliability",9
2017,"Wales","fishing","Low reliability",57
2017,"Wales","fly-tipped","Low reliability",0
2017,"Wales","medical","Low reliability",1
2017,"Wales","public","Low reliability",96
2017,"Wales","sewage related debris","Low reliability",12
2017,"Wales","shipping","Low reliability",11
2018,"Wales","fishing","Normal value",25
2018,"Wales","fly-tipped","Normal value",0
2018,"Wales","medical","Normal value",0
2018,"Wales","public","Normal value",82.5
2018,"Wales","sewage related debris","Normal value",6
2018,"Wales","shipping","Normal value",6.5
2019,"Wales","fishing","Low reliability",33
2019,"Wales","fly-tipped","Low reliability",0
2019,"Wales","medical","Low reliability",0
2019,"Wales","public","Low reliability",84
2019,"Wales","sewage related debris","Low reliability",7
2019,"Wales","shipping","Low reliability",9
2020,"Wales","fishing","Low reliability",10
2020,"Wales","fly-tipped","Low reliability",0
2020,"Wales","medical","Low reliability",0
2020,"Wales","public","Low reliability",30
2020,"Wales","sewage related debris","Low reliability",3
2020,"Wales","shipping","Low reliability",1
2021,"Wales","fishing","Low reliability",15.5
2021,"Wales","fly-tipped","Low reliability",0
2021,"Wales","medical","Low reliability",1
2021,"Wales","public","Low reliability",77.5
2021,"Wales","sewage related debris","Low reliability",4
2021,"Wales","shipping","Low reliability",4
2008,"England","fishing","Normal value",26.5
2008,"England","fly-tipped","Normal value",0
2008,"England","medical","Normal value",0
2008,"England","public","Normal value",67
2008,"England","sewage related debris","Normal value",2.5
2008,"England","shipping","Normal value",6.5
2009,"England","fishing","Normal value",68
2009,"England","fly-tipped","Normal value",0
2009,"England","medical","Normal value",0
2009,"England","public","Normal value",164
2009,"England","sewage related debris","Normal value",8
2009,"England","shipping","Normal value",11
2010,"England","fishing","Normal value",51
2010,"England","fly-tipped","Normal value",0
2010,"England","medical","Normal value",0
2010,"England","public","Normal value",122
2010,"England","sewage related debris","Normal value",12
2010,"England","shipping","Normal value",7
2011,"England","fishing","Normal value",33
2011,"England","fly-tipped","Normal value",0
2011,"England","medical","Normal value",1
2011,"England","public","Normal value",113
2011,"England","sewage related debris","Normal value",6
2011,"England","shipping","Normal value",13
2012,"England","fishing","Normal value",28
2012,"England","fly-tipped","Normal value",0
2012,"England","medical","Normal value",1
2012,"England","public","Normal value",114
2012,"England","sewage related debris","Normal value",14
2012,"England","shipping","Normal value",13
2013,"England","fishing","Normal value",55.5
2013,"England","fly-tipped","Normal value",0
2013,"England","medical","Normal value",0.5
